,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey
 Total - Age groups and average age of the population - 100% data ,-850.0,18615.0,-55.0,4325.0,1445.0,4660.0,-640.0,2145.0,2450.0,675.0,9340.0,305.0,2645.0,740.0,-470.0,900.0,665.0,1270.0,1865.0,2640.0,75.0
  0 to 4 years,-65.0,620.0,-480.0,285.0,-205.0,145.0,-180.0,90.0,125.0,-30.0,575.0,100.0,-320.0,-65.0,-40.0,-45.0,25.0,-470.0,-40.0,-55.0,-165.0
  5 to 9 years,-35.0,145.0,-55.0,150.0,-135.0,-5.0,-70.0,15.0,280.0,-70.0,70.0,-35.0,-385.0,50.0,-80.0,15.0,-40.0,-405.0,-150.0,-85.0,15.0
  10 to 14 years,-235.0,100.0,195.0,40.0,-260.0,-290.0,-90.0,-145.0,95.0,-330.0,-85.0,-95.0,-615.0,50.0,35.0,55.0,-95.0,-135.0,-320.0,-65.0,75.0
  15 to 19 years,-120.0,135.0,140.0,25.0,-145.0,60.0,-230.0,-90.0,120.0,-255.0,-80.0,-95.0,-245.0,-50.0,-90.0,40.0,-70.0,325.0,-205.0,-210.0,95.0
  20 to 24 years,110.0,130.0,115.0,-50.0,155.0,270.0,85.0,-10.0,-145.0,180.0,-45.0,-25.0,310.0,-100.0,-65.0,-5.0,75.0,390.0,20.0,-1210.0,150.0
  25 to 29 years,75.0,2745.0,120.0,425.0,525.0,905.0,190.0,35.0,-75.0,440.0,1855.0,235.0,1060.0,165.0,0.0,100.0,220.0,300.0,415.0,765.0,-30.0
  30 to 34 years,-130.0,3850.0,-220.0,500.0,90.0,645.0,-110.0,90.0,-85.0,180.0,2645.0,180.0,370.0,130.0,95.0,20.0,190.0,-320.0,305.0,1300.0,-45.0
  35 to 39 years,-450.0,1710.0,-675.0,70.0,-475.0,-80.0,-430.0,-200.0,-795.0,-465.0,1215.0,-80.0,-375.0,-250.0,-85.0,-15.0,90.0,-285.0,-160.0,-155.0,-270.0
  40 to 44 years,-445.0,950.0,-435.0,-30.0,-640.0,-300.0,-460.0,-355.0,-475.0,-800.0,525.0,-335.0,-925.0,-315.0,-275.0,-80.0,-270.0,-230.0,-495.0,-690.0,-265.0
  45 to 49 years,20.0,1305.0,290.0,210.0,5.0,45.0,40.0,-165.0,255.0,-185.0,265.0,-45.0,-340.0,-25.0,5.0,110.0,-70.0,5.0,-315.0,-40.0,80.0
  50 to 54 years,75.0,1140.0,110.0,50.0,540.0,365.0,65.0,245.0,230.0,300.0,435.0,-50.0,750.0,130.0,-90.0,90.0,60.0,420.0,240.0,350.0,-15.0
  55 to 59 years,-170.0,1265.0,-250.0,105.0,550.0,655.0,-85.0,425.0,10.0,285.0,445.0,-145.0,845.0,15.0,-165.0,10.0,305.0,240.0,385.0,265.0,-250.0
  60 to 64 years,245.0,1485.0,265.0,555.0,745.0,1165.0,65.0,805.0,655.0,625.0,630.0,255.0,1350.0,430.0,95.0,170.0,330.0,480.0,1015.0,570.0,75.0
  65 to 69 years,325.0,1385.0,445.0,1010.0,345.0,565.0,230.0,750.0,1225.0,575.0,570.0,360.0,560.0,395.0,160.0,165.0,200.0,435.0,660.0,950.0,355.0
  70 to 74 years,65.0,790.0,170.0,565.0,-405.0,-190.0,190.0,105.0,695.0,190.0,175.0,20.0,-200.0,-70.0,30.0,60.0,-195.0,-100.0,-5.0,745.0,205.0
  75 to 79 years,-20.0,360.0,140.0,225.0,-35.0,25.0,80.0,110.0,105.0,35.0,70.0,-20.0,70.0,-10.0,-40.0,10.0,-110.0,55.0,180.0,100.0,35.0
  80 to 84 years,-80.0,240.0,-10.0,40.0,330.0,235.0,45.0,210.0,35.0,-25.0,45.0,-55.0,310.0,90.0,0.0,40.0,15.0,245.0,110.0,-35.0,-10.0
  85 to 89 years,-45.0,185.0,45.0,85.0,290.0,300.0,5.0,135.0,85.0,20.0,15.0,10.0,260.0,95.0,-5.0,50.0,5.0,205.0,125.0,80.0,25.0
  90 to 94 years,20.0,75.0,5.0,15.0,130.0,105.0,10.0,75.0,65.0,15.0,20.0,95.0,125.0,40.0,40.0,80.0,-15.0,80.0,85.0,55.0,0.0
  95 to 99 years,20.0,15.0,20.0,25.0,25.0,20.0,5.0,20.0,30.0,-5.0,-5.0,15.0,20.0,10.0,20.0,15.0,10.0,10.0,20.0,0.0,10.0
  100 years and over,10.0,0.0,11.0,15.0,5.0,5.0,-5.0,-5.0,10.0,0.0,0.0,0.0,10.0,5.0,5.0,5.0,0.0,5.0,15.0,5.0,6.0
total martial status,-225.0,18405.0,455.0,4615.0,2195.0,5180.0,-350.0,2495.0,2175.0,1740.0,9105.0,540.0,4175.0,880.0,-200.0,1115.0,1400.0,2220.0,2770.0,3055.0,170.0
